arg1,arg2
SN001,Student_1
SN002,Student_2
SN003,Student_3
SN004,Student_4
SN005,Student_5
SN006,Student_6
SN007,Student_7
SN008,Student_8
SN009,Student_9
SN010,Student_10
SN011,Student_11
SN012,Student_12
SN013,Student_13
SN014,Student_14
SN015,Student_15
SN016,Student_16
SN017,Student_17
SN018,Student_18
SN019,Student_19
SN020,Student_20
SN021,Student_21
SN022,Student_22
SN023,Student_23
SN024,Student_24
SN025,Student_25
SN026,Student_26
SN027,Student_27
SN028,Student_28
SN029,Student_29
SN030,Student_30
SN031,Student_31
SN032,Student_32
SN033,Student_33
SN034,Student_34
SN035,Student_35
SN036,Student_36
SN037,Student_37
SN038,Student_38
SN039,Student_39
SN040,Student_40
SN041,Student_41
SN042,Student_42
SN043,Student_43
SN044,Student_44
SN045,Student_45
SN046,Student_46
SN047,Student_47
SN048,Student_48
SN049,Student_49
SN050,Student_50
SN051,Student_51
SN052,Student_52
SN053,Student_53
SN054,Student_54
SN055,Student_55
SN056,Student_56
SN057,Student_57
SN058,Student_58
SN059,Student_59
SN060,Student_60
SN061,Student_61
SN062,Student_62
SN063,Student_63
SN064,Student_64
SN065,Student_65
SN066,Student_66
SN067,Student_67
SN068,Student_68
SN069,Student_69
SN070,Student_70
SN071,Student_71
SN072,Student_72
SN073,Student_73
SN074,Student_74
SN075,Student_75
SN076,Student_76
SN077,Student_77
SN078,Student_78
SN079,Student_79
SN080,Student_80
SN081,Student_81
SN082,Student_82
SN083,Student_83
SN084,Student_84
SN085,Student_85
SN086,Student_86
SN087,Student_87
SN088,Student_88
SN089,Student_89
SN090,Student_90
SN091,Student_91
SN092,Student_92
SN093,Student_93
SN094,Student_94
SN095,Student_95
SN096,Student_96
SN097,Student_97
SN098,Student_98
SN099,Student_99
SN100,Student_100
